> Task :compileJava
> Task :processResources UP-TO-DATE
> Task :classes
> Task :configJavafxRun

> Task :run
ID : 1571396344 | X:30.197882200000098 | Y:-3.131219423194777 | Vx:-300.0 | Vy:14.931048820061529
ID : 1571396344 | X:24.445828300000098 | Y:-2.808176404463576 | Vx:-300.0 | Vy:16.848400120061527
ID : 1571396344 | X:18.8257384000001 | Y:-2.4574497594393185 | Vx:-300.0 | Vy:18.721763420061528
ID : 1571396344 | X:12.907857400000097 | Y:-2.0492266265277714 | Vx:-300.0 | Vy:20.694390420061527
ID : 1571396344 | X:6.911763100000097 | Y:-1.5956602974459835 | Vx:-300.0 | Vy:22.693088520061526
ID : 1571396344 | X:0.6983788000000963 | Y:-1.082761648283019 | Vx:-300.0 | Vy:24.764216620061525
ID : 1571396344 | X:-6.646468399999904 | Y:-0.4165228241746801 | Vx:-300.0 | Vy:27.212499020061525
ID : 1571396344 | X:-12.942903499999904 | Y:0.1986663946413254 | Vx:-300.0 | Vy:29.311310720061524
ID : 1571396344 | X:-18.835721599999903 | Y:0.8130041415273203 | Vx:-300.0 | Vy:31.275583420061523
ID : 1571396344 | X:-24.506212099999903 | Y:1.4398909843126972 | Vx:-300.0 | Vy:33.16574692006152
ID : 1571396344 | X:-30.064476499999905 | Y:2.0886979558192196 | Vx:-300.0 | Vy:35.01850172006152
ID : 1571396344 | X:-36.136583899999906 | Y:2.838452176453697 | Vx:-300.0 | Vy:37.04253752006152
ID : 1571396344 | X:-41.59284709999991 | Y:3.5452436331466606 | Vx:-300.0 | Vy:38.861291920061525
ID : 1571396344 | X:-47.28007519999991 | Y:4.317892141692949 | Vx:-300.0 | Vy:40.757034620061525
ID : 1571396344 | X:-52.74267589999991 | Y:5.0931790571863464 | Vx:-300.0 | Vy:42.57790152006152
ID : 1571396344 | X:-61.11633499999991 | Y:6.359530906397584 | Vx:-300.0 | Vy:45.36912122006152
ID : 1571396344 | X:-68.0815528999999 | Y:7.466788357600037 | Vx:-300.0 | Vy:47.69086052006152
ID : 1571396344 | X:-75.59300209999991 | Y:8.723570910251553 | Vx:-300.0 | Vy:50.19467692006152
ID : 1571396344 | X:-83.3201038999999 | Y:10.082777840658043 | Vx:-300.0 | Vy:52.770377520061515
ID : 1571396344 | X:-154.17962239999991 | Y:28.126024494498257 | Vx:-300.0 | Vy:76.39021702006151
ID : 897027557 | X:618.3008494 | Y:143.5489249065673 | Vx:-300.0 | Vy:-167.13711890232148
ID : 897027557 | X:353.85065769999994 | Y:73.92178544929277 | Vx:-300.0 | Vy:-78.98705500232147
ID : 897027557 | X:332.24804559999995 | Y:68.7525551372189 | Vx:-300.0 | Vy:-71.78618430232147
ID : 897027557 | X:45.288531399999954 | Y:91.58208521377723 | Vx:-300.0 | Vy:23.866987097678532
ID : 897027557 | X:23.26838979999995 | Y:93.87269626094702 | Vx:-300.0 | Vy:31.207034297678533
ID : 897027557 | X:-28.158241700000055 | Y:102.16082557932538 | Vx:-300.0 | Vy:48.34924479767854
ID : 897027557 | X:-49.38873680000006 | Y:106.08323573097934 | Vx:-300.0 | Vy:55.42607649767854
